index,Condition Index,Condition Type,Stimuli Combination,target,distractor1,distractor2,distractor3,correct_answer,stimuli
24,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,mantel,ymrqjz,ymrqjz,ymrqjz,m,"mantel,ymrqjz,ymrqjz,ymrqjz"
28,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,appliance,klgwvkzti,klgwvkzti,klgwvkzti,m,"appliance,klgwvkzti,klgwvkzti,klgwvkzti"
29,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,dishwasher,ztqtpuoefr,ztqtpuoefr,ztqtpuoefr,m,"dishwasher,ztqtpuoefr,ztqtpuoefr,ztqtpuoefr"
32,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,djmrtb,window,window,window,z,"djmrtb,window,window,window"
16,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,jhldvfd,unclear,unclear,unclear,z,"jhldvfd,unclear,unclear,unclear"
59,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,skyscraper,unofficial,unofficial,unofficial,m,"skyscraper,unofficial,unofficial,unofficial"
20,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,table,iqnqg,iqnqg,iqnqg,m,"table,iqnqg,iqnqg,iqnqg"
8,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,uncertain,cgpfdjfrq,cgpfdjfrq,cgpfdjfrq,m,"uncertain,cgpfdjfrq,cgpfdjfrq,cgpfdjfrq"
38,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,klgwvkzti,appliance,appliance,appliance,z,"klgwvkzti,appliance,appliance,appliance"
19,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,mncbfljdvq,unforeseen,unforeseen,unforeseen,z,"mncbfljdvq,unforeseen,unforeseen,unforeseen"
57,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,context,uniform,uniform,uniform,m,"context,uniform,uniform,uniform"
21,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,clock,pwvqs,pwvqs,pwvqs,m,"clock,pwvqs,pwvqs,pwvqs"
50,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,upward,colour,colour,colour,m,"upward,colour,colour,colour"
3,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,random,tfgnkc,tfgnkc,tfgnkc,m,"random,tfgnkc,tfgnkc,tfgnkc"
43,c,Facilitation Condition Trials,non-word target + non-word distractor,sbdmcq,qfzmbb,qfzmbb,qfzmbb,z,"sbdmcq,qfzmbb,qfzmbb,qfzmbb"
16,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,jhldvfd,unclear,unclear,unclear,z,"jhldvfd,unclear,unclear,unclear"
15,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,lcmnprv,perhaps,perhaps,perhaps,z,"lcmnprv,perhaps,perhaps,perhaps"
42,c,Facilitation Condition Trials,non-word target + non-word distractor,ihwwvp,xywjry,xywjry,xywjry,z,"ihwwvp,xywjry,xywjry,xywjry"
37,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,grnlpsp,cabinet,cabinet,cabinet,z,"grnlpsp,cabinet,cabinet,cabinet"
5,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,perhaps,lcmnprv,lcmnprv,lcmnprv,m,"perhaps,lcmnprv,lcmnprv,lcmnprv"
1,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,vague,wrflz,wrflz,wrflz,m,"vague,wrflz,wrflz,wrflz"
9,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unforeseen,mncbfljdvq,mncbfljdvq,mncbfljdvq,m,"unforeseen,mncbfljdvq,mncbfljdvq,mncbfljdvq"
12,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,hxmwfn,chance,chance,chance,z,"hxmwfn,chance,chance,chance"
14,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,qddkgm,unsure,unsure,unsure,z,"qddkgm,unsure,unsure,unsure"
32,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,djmrtb,window,window,window,z,"djmrtb,window,window,window"
40,c,Facilitation Condition Trials,non-word target + non-word distractor,gwyqg,jsghp,jsghp,jsghp,z,"gwyqg,jsghp,jsghp,jsghp"
0,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,maybe,trrlep,trrlep,trrlep,m,"maybe,trrlep,trrlep,trrlep"
54,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,unused,rattle,rattle,rattle,m,"unused,rattle,rattle,rattle"
49,c,Facilitation Condition Trials,non-word target + non-word distractor,wypqdmmxnj,idccpkmmvc,idccpkmmvc,idccpkmmvc,z,"wypqdmmxnj,idccpkmmvc,idccpkmmvc,idccpkmmvc"
58,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,unnatural,cardboard,cardboard,cardboard,m,"unnatural,cardboard,cardboard,cardboard"
51,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,tower,vivid,vivid,vivid,m,"tower,vivid,vivid,vivid"
46,c,Facilitation Condition Trials,non-word target + non-word distractor,rjuqubbx,jnkwapj,jnkwapj,jnkwapj,z,"rjuqubbx,jnkwapj,jnkwapj,jnkwapj"
31,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,pwvqs,clock,clock,clock,z,"pwvqs,clock,clock,clock"
34,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,ymrqjz,mantel,mantel,mantel,z,"ymrqjz,mantel,mantel,mantel"
